ノードＩＤ,緯度経度桁数コード,緯度,経度,高さ
00001B000000000309CEE5A662E2FFC1,3,35.42.37.972,139.45.36.517,0,
00001B000000000309CF102662D77FC1,3,35.42.46.485,139.45.34.283,0,
00001B000000000309CED52662E6FFC1,3,35.42.34.667,139.45.37.393,0,
00001B000000000309CEC2A662E9FFC1,3,35.42.30.944,139.45.37.950,0,
00001B000000000309CEB0A662E87FC1,3,35.42.27.354,139.45.37.642,0,
00001B000000000309CEB32662E87FC1,3,35.42.27.879,139.45.37.672,0,
00001B000000000309CEBAA662E77FC1,3,35.42.29.362,139.45.37.444,0,
00001B000000000309CEC62662E5FFC1,3,35.42.31.689,139.45.37.100,0,
00001B000000000309CED32662E3FFC1,3,35.42.34.245,139.45.36.722,0,
00001B000000000309CEDF2662E0FFC1,3,35.42.36.684,139.45.36.102,0,
00001B000000000309CEE72662DEFFC1,3,35.42.38.286,139.45.35.704,0,
00001B000000000309CEEAA662DDFFC1,3,35.42.38.990,139.45.35.528,0,
00001B000000000309CEEDA662DCFFC1,3,35.42.39.594,139.45.35.378,0,
00001B000000000309CEFB2662D97FC1,3,35.42.42.223,139.45.34.688,0,
00001B000000000309CF342662CAFFC1,3,35.42.53.633,139.45.31.704,0,
00001B000000000309CF2F2662CBFFC1,3,35.42.52.649,139.45.31.967,0,
00001B000000000309CF24A662CEFFC1,3,35.42.50.513,139.45.32.513,0,
00001B000000000309CF1B2662D0FFC1,3,35.42.48.694,139.45.32.989,0,
00001B000000000309CF132662D37FC1,3,35.42.47.002,139.45.33.427,0,
00001B000000000309CF0B2662D57FC1,3,35.42.45.425,139.45.33.843,0,
00001B000000000309CEFFA662D87FC1,3,35.42.43.184,139.45.34.431,0,
00001B000000000309CF39A662CCFFC1,3,35.42.54.779,139.45.32.135,0,
00001B000000000309CF30A662B67FC1,3,35.42.52.962,139.45.27.684,0,
00001B000000000309CF2DA662B1FFC1,3,35.42.52.315,139.45.26.780,0,
00001B000000000309CF2B2662B07FC1,3,35.42.51.886,139.45.26.471,0,
00001B000000000309CF26A662AF7FC1,3,35.42.50.979,139.45.26.214,0,
00001B000000000309CF1DA662ACFFC1,3,35.42.49.192,139.45.25.700,0,
00001B000000000309CED5A662E6FFC1,3,35.42.34.762,139.45.37.368,0,
00001B000000000309CED4A662E77FC1,3,35.42.34.525,139.45.37.414,0,
00001B000000000309CEC32662E9FFC1,3,35.42.31.040,139.45.37.936,0,
00001B000000000309CEC22662E9FFC1,3,35.42.30.822,139.45.37.969,0,
00001B000000000309CEB42662E87FC1,3,35.42.28.068,139.45.37.643,0,
00001B000000000309CEBB2662E77FC1,3,35.42.29.415,139.45.37.436,0,
00001B000000000309CEB9A662E77FC1,3,35.42.29.119,139.45.37.481,0,
00001B000000000309CEC6A662E57FC1,3,35.42.31.768,139.45.37.088,0,
00001B000000000309CEC62662E5FFC2,3,35.42.31.601,139.45.37.113,0,
00001B000000000309CEDFA662E07FC1,3,35.42.36.754,139.45.36.085,0,
00001B000000000309CEDF2662E0FFC2,3,35.42.36.610,139.45.36.123,0,
00001B000000000309CEFB2662D97FC2,3,35.42.42.286,139.45.34.671,0,
00001B000000000309CEFAA662D9FFC1,3,35.42.42.165,139.45.34.703,0,
00001B000000000309CF00A662D7FFC1,3,35.42.43.311,139.45.34.397,0,
00001B000000000309CEFF2662D87FC1,3,35.42.43.037,139.45.34.470,0,
00001B000000000309CF0B2662D57FC2,3,35.42.45.484,139.45.33.827,0,
00001B000000000309CF0AA662D57FC1,3,35.42.45.352,139.45.33.862,0,
00001B000000000309CF13A662D2FFC1,3,35.42.47.113,139.45.33.398,0,
00001B000000000309CF122662D37FC1,3,35.42.46.898,139.45.33.454,0,
00001B000000000309CF1BA662D0FFC1,3,35.42.48.790,139.45.32.963,0,
00001B000000000309CF1B2662D17FC1,3,35.42.48.617,139.45.33.008,0,
00001B000000000309CF24A662CE7FC1,3,35.42.50.575,139.45.32.497,0,
00001B000000000309CF242662CEFFC1,3,35.42.50.455,139.45.32.528,0,
00001B000000000309CF2F2662CBFFC2,3,35.42.52.698,139.45.31.954,0,
00001B000000000309CF2EA662CBFFC1,3,35.42.52.582,139.45.31.984,0,
00001B000000000309CF34A662CA7FC1,3,35.42.53.713,139.45.31.682,0,
00001B000000000309CF33A662CAFFC1,3,35.42.53.572,139.45.31.720,0,
00001B000000000309CF38A662C2FFC1,3,35.42.54.564,139.45.30.164,0,
00001B000000000309CF392662C47FC1,3,35.42.54.612,139.45.30.408,0,
00001B000000000309CF34A662BC7FC1,3,35.42.53.773,139.45.28.827,0,
00001B000000000309CF33A662BB7FC1,3,35.42.53.589,139.45.28.602,0,
00001B000000000309CF312662B77FC1,3,35.42.53.080,139.45.27.857,0,
00001B000000000309CF302662B5FFC1,3,35.42.52.856,139.45.27.536,0,
00001B000000000309CF2DA662B27FC1,3,35.42.52.379,139.45.26.869,0,
00001B000000000309CF2D2662B1FFC1,3,35.42.52.228,139.45.26.717,0,
00001B000000000309CF122662A2FFC1,3,35.42.46.829,139.45.23.705,0,
00001B000000000309CF06266297FFC1,3,35.42.44.419,139.45.21.583,0,
00001B000000000309CEF6266287FFC1,3,35.42.41.256,139.45.18.384,0,
00001B000000000309CEF926628C7FC1,3,35.42.41.832,139.45.19.201,0,
00001B000000000309CEFDA662907FC1,3,35.42.42.742,139.45.20.042,0,
00001B000000000309CEFEA662917FC1,3,35.42.42.918,139.45.20.212,0,
00001B000000000309CEFE266290FFC1,3,35.42.42.833,139.45.20.129,0,
00001B000000000309CEF5266287FFC1,3,35.42.41.005,139.45.18.339,0,
00001B000000000309CEF3A66288FFC1,3,35.42.40.730,139.45.18.505,0,
00001B000000000309CEF2A662897FC1,3,35.42.40.561,139.45.18.602,0,
00001B000000000309CEE32662DFFFC1,3,35.42.37.410,139.45.35.922,0,
00001B000000000309CEEF26628A7FC1,3,35.42.39.805,139.45.18.862,0,
00001B000000000309CEEEA6628A7FC1,3,35.42.39.718,139.45.18.886,0,
00001B000000000309CEEE26628AFFC1,3,35.42.39.625,139.45.18.913,0,
00001B000000000309CEEA26628CFFC1,3,35.42.38.876,139.45.19.378,0,
00001B000000000309CEE726628FFFC1,3,35.42.38.265,139.45.19.907,0,
00001B000000000309CEE5A662917FC1,3,35.42.37.948,139.45.20.209,0,
00001B000000000309CEDEA66298FFC1,3,35.42.36.560,139.45.21.711,0,
00001B000000000309CED926629EFFC1,3,35.42.35.463,139.45.22.994,0,
00001B000000000309CED8A6629FFFC1,3,35.42.35.304,139.45.23.198,0,
00001B000000000309CED8A6629FFFC2,3,35.42.35.349,139.45.23.141,0,
00001B000000000309CED52662A57FC1,3,35.42.34.692,139.45.24.203,0,
00001B000000000309CED4A662A6FFC1,3,35.42.34.579,139.45.24.522,0,
00001B000000000309CED4A662A6FFC2,3,35.42.34.557,139.45.24.592,0,
00001B000000000309CED32662AAFFC1,3,35.42.34.268,139.45.25.373,0,
00001B000000000309CED32662AB7FC1,3,35.42.34.239,139.45.25.451,0,
00001B000000000309CED12662AE7FC1,3,35.42.33.887,139.45.26.089,0,
00001B000000000309CECE2662B37FC1,3,35.42.33.231,139.45.27.075,0,
00001B000000000309CECC2662B7FFC1,3,35.42.32.830,139.45.27.932,0,
00001B000000000309CECBA662B87FC1,3,35.42.32.797,139.45.28.003,0,
00001B000000000309CECB2662BA7FC1,3,35.42.32.605,139.45.28.404,0,
00001B000000000309CECAA662BAFFC1,3,35.42.32.537,139.45.28.534,0,
00001B000000000309CECA2662BB7FC1,3,35.42.32.463,139.45.28.676,0,
00001B000000000309CEC6A662C2FFC1,3,35.42.31.764,139.45.30.164,0,
00001B000000000309CEC6A662C37FC1,3,35.42.31.723,139.45.30.254,0,
00001B000000000309CEC22662D0FFC1,3,35.42.30.850,139.45.32.989,0,
00001B000000000309CEBF2662D97FC1,3,35.42.30.238,139.45.34.630,0,
00001B000000000309CEBEA662DA7FC1,3,35.42.30.174,139.45.34.809,0,
00001B000000000309CEBF2662D9FFC1,3,35.42.30.203,139.45.34.728,0,
00001B000000000309CEBCA662DFFFC1,3,35.42.29.741,139.45.35.961,0,
00001B000000000309CEEF26629FFFC1,3,35.42.39.852,139.45.23.148,0,
00001B000000000309CEDFA6629F7FC1,3,35.42.36.796,139.45.23.003,0,
00001B000000000309CEF3A66293FFC1,3,35.42.40.747,139.45.20.760,0,
00001B000000000309CEF4A662A1FFC1,3,35.42.40.909,139.45.23.536,0,
00001B000000000309CEF5A662B1FFC1,3,35.42.41.162,139.45.26.719,0,
00001B000000000309CEF5A662B2FFC1,3,35.42.41.188,139.45.26.998,0,
00001B000000000309CEF6A662BFFFC1,3,35.42.41.384,139.45.29.528,0,
00001B000000000309CEF72662C1FFC1,3,35.42.41.403,139.45.29.912,0,
00001B000000000309CEF72662C4FFC1,3,35.42.41.418,139.45.30.579,0,
00001B000000000309CEF92662C57FC1,3,35.42.41.848,139.45.30.661,0,
00001B000000000309CEFE2662947FC1,3,35.42.42.802,139.45.20.846,0,
00001B000000000309CEFDA6629E7FC1,3,35.42.42.714,139.45.22.813,0,
00001B000000000309CF012662A4FFC1,3,35.42.43.426,139.45.24.137,0,
00001B000000000309CF01A662A67FC1,3,35.42.43.595,139.45.24.445,0,
00001B000000000309CF04A662AC7FC1,3,35.42.44.190,139.45.25.615,0,
00001B000000000309CF0A2662B6FFC1,3,35.42.45.280,139.45.27.772,0,
00001B000000000309CF0DA662BD7FC1,3,35.42.45.933,139.45.29.077,0,
00001B000000000309CF0F2662C17FC1,3,35.42.46.299,139.45.29.894,0,
00001B000000000309CF102662C4FFC1,3,35.42.46.433,139.45.30.526,0,
00001B000000000309CF11A662CBFFC1,3,35.42.46.713,139.45.31.932,0,
00001B000000000309CEFE26629FFFC1,3,35.42.42.891,139.45.23.147,0,
00001B000000000309CEFF26629F7FC1,3,35.42.43.008,139.45.23.051,0,
00001B000000000309CF0EA662BD7FC1,3,35.42.46.181,139.45.29.070,0,
